import time: self [us] | cumulative | imported package
import time:       587 |      11720 |           cuda.pathfinder
import time:       389 |      12592 |         cuda.bindings.cyruntime
import time:      3462 |      21387 |       cuda.bindings.runtime
import time:       246 |      22430 |     torch.cuda._utils
import time:       197 |        197 |     torch.cuda.graphs
import time:        52 |         52 |     torch.cuda.green_contexts
import time:        79 |         79 |     torch.cuda.streams
import time:        24 |         24 |     pynvml
import time:       125 |        125 |       torch.cuda._memory_viz
import time:       349 |        474 |     torch.cuda.memory
import time:        58 |         58 |     torch.cuda.random
import time:        75 |         75 |       torch.cuda.amp.autocast_mode
import time:        50 |         50 |           importlib._abc
import time:       107 |        157 |         importlib.util
import time:       104 |        260 |       torch.cuda.amp.common
import time:        48 |         48 |       torch.cuda.amp.grad_scaler
import time:       236 |        617 |     torch.cuda.amp
import time:        51 |         51 |     torch.cuda.jiterator
import time:        48 |         48 |     torch.cuda.nvtx
import time:        40 |         40 |     torch.cuda.profiler
import time:        23 |         23 |     torch.cuda.sparse
import time:       118 |        118 |           multiprocessing.process
import time:       101 |        101 |           multiprocessing.reduction
import time:       371 |        589 |         multiprocessing.context
import time:       145 |        733 |       multiprocessing
import time:       171 |        904 |     torch.cuda.tunable
import time:      1887 |      26990 |   torch.cuda
import time:        53 |         53 |       torch.sparse._semi_structured_conversions
import time:        61 |         61 |       torch.sparse._semi_structured_ops
import time:       357 |        470 |     torch.sparse.semi_structured
import time:       153 |        622 |   torch.sparse
import time:        59 |         59 |   torch._compile
import time:        45 |         45 |   torch._VF
import time:       121 |        121 |         torch.nn.parameter
import time:       336 |        336 |             torch._prims_common
import time:        62 |         62 |                 torch.utils.backcompat
import time:       204 |        204 |                 torch.utils.collect_env
import time:        70 |         70 |                       _queue
import time:       156 |        225 |                     queue
import time:        35 |         35 |                               torch.distributed._pycute.typing
import time:       145 |        179 |                             torch.distributed._pycute.int_tuple
import time:       153 |        153 |                             torch.distributed._pycute.layout
import time:       212 |        543 |                           torch.distributed._pycute
import time:       366 |        908 |                         torch.distributed._mesh_layout
import time:        85 |         85 |                         torch.utils._typing_utils
import time:       345 |        345 |                               _hashlib
import time:        23 |         23 |                               _blake2
import time:       233 |        601 |                             hashlib
import time:       170 |        170 |                                 unittest.util
import time:       167 |        337 |                               unittest.result
import time:       121 |        121 |                                 pprint
import time:       380 |        501 |                               unittest.case
import time:        93 |         93 |                               unittest.suite
import time:       257 |        257 |                               unittest.loader
import time:       278 |        278 |                                   gettext
import time:       477 |        754 |                                 argparse
import time:        46 |         46 |                                   unittest.signals
import time:       216 |        262 |                                 unittest.runner
import time:       215 |       1229 |                               unittest.main
import time:       401 |       2815 |                             unittest
import time:       793 |       4208 |                           torch.utils._config_module
import time:       242 |       4449 |                         torch.distributed.config
import time:        47 |         47 |                           torch.monitor
import time:        30 |         30 |                             torch.distributed.logging_handlers
import time:       146 |        175 |                           torch.distributed.c10d_logger
import time:        34 |         34 |                           torch.distributed.constants
import time:        77 |         77 |                           torch.distributed.rendezvous
import time:        21 |         21 |                             torchcomms
import time:        72 |         93 |                           torchcomms._comms
import time:        18 |         18 |                             torchcomms
import time:        74 |         91 |                           torchcomms._backend_wrapper
import time:      1141 |       1656 |                         torch.distributed.distributed_c10d
import time:       565 |       7662 |                       torch.distributed.device_mesh
import time:        51 |         51 |                       torch.distributed.remote_device
import time:      1934 |       9646 |                     torch.distributed
import time:       117 |        117 |                                     torch.utils.data.datapipes._hook_iterator
import time:       238 |        354 |                                   torch.utils.data.datapipes._typing
import time:        48 |         48 |                                     torch.utils._import_utils
import time:        39 |         39 |                                       torch.utils.data.datapipes.utils
import time:       195 |        234 |                                     torch.utils.data.datapipes.utils.common
import time:       224 |        224 |                                     torch.utils.data.dataset
import time:       757 |       1261 |                                   torch.utils.data.datapipes.datapipe
import time:       205 |       1819 |                                 torch.utils.data.datapipes._decorator
import time:        84 |         84 |                                   torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       124 |        207 |                                 torch.utils.data.datapipes.dataframe.structures
import time:       389 |       2414 |                               torch.utils.data.datapipes.dataframe.dataframes
import time:       142 |        142 |                               torch.utils.data.datapipes.dataframe.datapipes
import time:       178 |       2733 |                             torch.utils.data.datapipes.dataframe
import time:       130 |        130 |                                     torch.utils.data._utils.collate
import time:        95 |         95 |                                     torch.utils.data._utils.fetch
import time:       114 |        114 |                                     torch.utils.data._utils.pin_memory
import time:        71 |         71 |                                     torch.utils.data._utils.signal_handling
import time:      1050 |       1050 |                                     torch.utils.data._utils.worker
import time:       465 |       1922 |                                   torch.utils.data._utils
import time:        75 |       1996 |                                 torch.utils.data._utils.collate
import time:       234 |       2230 |                               torch.utils.data.datapipes.iter.callable
import time:       189 |        189 |                                 torch.utils.data.sampler
import time:       196 |        385 |                               torch.utils.data.datapipes.iter.combinatorics
import time:       268 |        268 |                               torch.utils.data.datapipes.iter.combining
import time:       112 |        112 |                                 torch.utils.data.datapipes.iter.utils
import time:       163 |        274 |                               torch.utils.data.datapipes.iter.filelister
import time:        82 |         82 |                               torch.utils.data.datapipes.iter.fileopener
import time:       132 |        132 |                               torch.utils.data.datapipes.iter.grouping
import time:        98 |         98 |                                 torch.utils.data.datapipes.utils.decoder
import time:       143 |        240 |                               torch.utils.data.datapipes.iter.routeddecoder
import time:        78 |         78 |                               torch.utils.data.datapipes.iter.selecting
import time:       209 |        209 |                               torch.utils.data.datapipes.iter.sharding
import time:        59 |         59 |                               torch.utils.data.datapipes.iter.streamreader
import time:       667 |       4618 |                             torch.utils.data.datapipes.iter
import time:        96 |         96 |                               torch.utils.data.datapipes.map.callable
import time:        98 |         98 |                               torch.utils.data.datapipes.map.combinatorics
